t_index	 term	 df 
409	1975-77	1
410	1976	6
411	1977	9
412	1977-81	1
413	1978	2
414	1979	4
415	1980	44
416	1981	11
417	1982	4
418	1983	20
419	1984	6
420	1985	16
421	1985-90	2
422	1986	14
423	1986-87	1
424	1987	10
425	1987-94	1
426	1988	11
427	1989	17
428	1990	56
429	1990-99	1
430	1991	27
431	1991-92	1
432	1991-93	3
433	1992	49
434	1993	37
435	1994	38
436	1995	48
437	1996	95
438	1996-97	3
439	1997	38
440	1997-99	1
441	1998	105
442	1998-99	1
443	1999	64
444	19th	1
445	1:	1
446	1:15	1
447	1:18	1
448	1:23	3
449	1:30	2
450	1:34	2
451	1:46	1
452	1st	1
453	2	76
454	2-0	5
455	2-1	1
456	2-4	3
457	2-6	18
458	2-hour	4
459	2-inch	1
460	2-seed	1
461	2-storei	1
462	2-year	3
463	2-year-old	7
464	20	126
465	20-foot-by-40-foot	2
466	20-minut	1
467	20-page	1
468	20-percentag	1
469	20-to-40-foot	1
470	20-year	9
471	20-year-old	10
472	200	45
473	200-300	1
474	2000	57
475	2000-foot	2
476	20000	19
477	200000	9
478	2001	8
479	2002	12
480	2003	1
481	20036	1
482	2004	5
483	2005	3
484	2006	1
485	2008	1
486	2010	1
487	2015	1
488	202-857-6533	1
489	203	4
490	2035	1
491	204	1
492	209	4
493	20904	1
494	20th	8
495	20th-centuri	1
496	21	22
497	21-foot	1
498	21-gun	2
499	21-nation	1
500	21-year-old	1
501	210	2
502	2100	1
503	212-556-1927	1
504	212-557-8000	1
505	212-870-2167	1
506	212-885-0832	1
507	21203-7090	1
508	21298-9832	1
509	215	4
510	215000	1
511	216	3
512	219	4
513	21st	3
514	21st-centuri	1
515	22	49
516	22-match	3
517	22-member	3
518	22-year-old	11
519	220-megawatt	2
520	22000	1
521	22192	1
522	222	6
523	222-209	2
524	223	2
525	22314	1
526	224	26
527	2247	1
528	225	1
529	2267	1
530	22:	1
531	22nd	5
532	23	51
533	23-year-old	9
534	230	3
535	231	1
536	2315	1
537	232	4
538	23261	1
539	234	2
540	23500	1
541	23622	1
542	238	4
543	23rd	1
544	24	78
545	24-carat	1
546	24-citi	1
547	24-hour	1
548	24-year-old	10
549	240	1
550	2400	2
551	2403	1
552	241	4
553	2412	2
554	243000	1
555	245	2
556	246	5
557	246-dai	1
558	247	1
559	24th	8
560	25	74
561	25-foot	1
562	25-year-old	1
563	250	4
564	250-member	2
565	2500	13
566	25000	10
567	253	2
568	255	4
569	2583	2
570	259	1
571	2595	1
572	25:	1
573	25th	6
574	26	22
575	26-year-old	1
576	26000	2
577	264	1
578	26484	1
579	267	1
580	269	1
581	26:	1
582	27	14
583	27-year-old	6
584	270	8
585	271	1
586	275	6
587	28	21
588	28-29	1
589	28-year-old	1
590	2800	1
591	28000	1
592	283	2
593	2834	2
594	2850	1
595	28th	1
596	29	33
597	29-year-old	3
598	293	3
599	293-strong	3
600	295	1
601	2:30	1
602	2:57	1
603	2nd	3
604	3	91
605	3-0	5
606	3-1	2
607	3-2	3
608	3-3	1
609	3-5	1
610	3-6	23
611	3-dai	1
612	3-foot-high	1
613	3-to-2	1
614	3-year-old	4
615	30	99
616	30-40	2
617	30-and-ov	1
618	30-by-40-foot	2
619	30-hour	1
620	30-minut	1
621	30-straight	1
622	30-year	1
623	30-year-old	9
624	300	25
625	300-yards-wid	1
626	3000	16
627	30000	19
628	300000	7
629	30303	1
630	308	1
631	31	20
632	31-year-old	3
633	310	2
634	31521	1
635	316	2
636	31st	1
637	32	12
638	320	1
639	32000	1
640	325	1
641	33	33
642	33-2	1
643	33-foot-long	1
644	330	3
645	33000	1
646	333	1
647	335	6
648	33rd	1
649	34	16
650	34-foot	2
651	34-year-old	2
652	348	1
653	35	53
654	35-year	3
655	35-year-old	1
656	350	14
657	350-bed	1
658	357	2
659	357-calib	2
660	36	24
661	36000	1
662	37	26
663	37-2	2
664	3700	1
665	3750	1
666	38	14
667	38-year-old	4
668	38248	1
669	387	1
670	38th	2
671	39	63
672	39-year-old	4
673	3:08	2
674	3:15	2
675	3:45	5
676	3rd	9
677	4	51
678	4-0	6
679	4-1	8
680	4-2	6
681	4-3	5
682	4-4	4
683	4-5	3
684	4-6	9
685	4-all	2
686	4-point	3
687	4-seed	1
688	4-time	1
689	4-year-old	9
690	40	89
691	40-30	1
692	40-bed	1
693	40-by-40	2
694	40-by-40-feet	1
695	40-by-40-foot	13
696	40-foot	9
697	40-foot-by-40-foot	2
698	40-foot-long	1
699	40-man	1
700	40-member	1
701	40-page	1
702	40-year-old	6
703	400	23
704	4000	6
705	40000	1
706	400000	2
707	403	2
708	40th	1
709	41	8
710	41-year-old	4
711	41000	1
712	41st	1
713	42	16
714	42-dai	1
715	421	1
716	426	1
717	43	8
718	43-year-old	1
719	435	3
720	43rd	7
721	44	11
722	44-year-old	4
723	440	1
724	4440	1
725	45	24
726	4500	1
727	45000	4
728	456	2
729	46	18
730	46000	1
731	466	1
732	4692	3
733	47	10
734	47-minut	2
735	47-year-old	1
736	47101968	1
737	47242846	1
738	475	1
739	48	15
740	48-hour	1
741	4800	1
742	48000	1
743	48421815	1
744	48591357	1
745	48:	1
746	48th	1
747	49	3
748	49-49	1
749	49000	1
750	49560	1
751	4:15	1
752	4:18	3
753	5	102
754	5-0	5
755	5-1	2
756	5-2	5
757	5-3	9
758	5-4	11
759	5-5	5
760	5-7	11
761	5-foot-2	5
762	5-foot-8-inch	1
763	5-foot-long	1
764	5-magnitud	5
765	5-year-old	6
766	50	79
767	50-48	3
768	50-49	1
769	50-50	6
770	50-calib	1
771	50-minut	1
772	50-year	3
773	50-year-old	2
774	500	22
775	500-foot-long	1
776	500-year	1
777	5000	18
778	50000	5
779	500000	8
780	505	1
781	505-foot	10
782	505-foot-long	1
783	51	22
784	51-year-old	1
785	51000	2
786	51st	2
787	52	18
788	52nd	1
789	53	13
790	53-47	1
791	539947	1
792	54	31
793	54-46	7
794	54-year-old	7
795	54000	1
796	543000	2
797	54th	1
798	55	6
799	55-degre	1
800	55-minut	2
801	55-year	8
802	55-year-old	4
803	550	2
804	55:	1
805	56	12
806	56-year-old	7
807	56000-ton	1
808	565	1
809	57	2
810	57-year-old	1
811	58	12
812	58-year	1
813	580	1
814	58000	11
815	584-foot	1
816	58:	1
817	59	15
818	59000	1
819	59:	1
820	5:15	4
821	5th	24
822	6	72
823	6-0	26
824	6-1	30
825	6-16-4	1
826	6-2	46
827	6-26-2	1
828	6-3	41
829	6-4	52
830	6-5	6
831	6-7	13
832	6-all	1
833	6-love	1
834	6-magnitud	9
835	60	36
836	60-foot	1
837	60-mile	1
838	60-square-mil	1
839	600	18
840	600-acr	1
841	6000	9
842	6000-mile	1
843	60000	3
844	600000	1
845	600th	1
846	60189	1
847	6072	3
848	609	2
849	61	7
850	615	1
851	6181	1
852	62	19
853	62-year-old	11
854	620	1
855	6200	1
856	627	1
857	63	7
858	64	5
859	64-year-old	3
860	6400	2
861	6444	1
862	646	5
863	648	1
864	64:	1
865	65	17
866	650	2
867	651	2
868	653	1
869	66	16
870	66-year-old	4
871	660	1
872	67	3
873	67-member	1
874	67-year-old	1
875	672	1
876	675	3
877	677	1
878	68	3
879	68-year-old	3
880	680	1
881	682	1
882	683	2
883	683rd	1
884	687	1
885	69	3
886	6:30	3
887	6th	1
888	7	102
889	7-11	1
890	7-4	1
891	7-5	29
892	7-6	30
893	7-foot	1
894	7-year-old	1
895	70	24
896	70-year-old	1
897	700	8
898	7000	16
899	700000-member	1
900	701	1
901	70200	1
902	703-519-0092	1
903	703-684-5528	1
904	71	1
905	710	2
906	711	1
907	7162	3
908	72	7
909	72-year-old	1
910	726	2
911	74	5
912	740	1
913	7400	1
914	747	1
915	75	7
916	75-horsepow	1
917	75-year-old	3
918	750	1
919	7500	1
920	750000	2
921	752	1
922	755-5022	1
923	76	1
924	7600	3
925	76000	1
926	762	1
927	77	3
928	7729	1
929	776	1
930	777-200	1
931	7777	1
932	78	6
933	78-dai	4
934	780000	1
935	79	14
936	79-year-old	2
937	7:00	1
938	7:20	1
939	7:28	1
940	7:30	3
941	7:33	3
942	7:45	1
943	7th	2
944	8	72
945	8-6	11
946	8-7	1
947	8-8	1
948	8-inch	2
949	8-month-old	1
950	8-seed	1
951	8-year-old	2
952	80	20
953	80-year-old	2
954	800	8
955	800-368-3202	1
956	8000	12
957	8000-ton	1
958	80000	2
959	800000	2
960	8018	1
961	805-964-4767	1
962	81	3
963	81-year-old	3
964	83	3
965	8300	5
966	8300-ton	1
967	832	1
968	8320	1
969	84	1
970	85	3
971	850	2
972	85260	1
973	86	1
974	8600-ton	8
975	86th	2
976	888-346-9867	1
977	8:30	3
978	8:45	1
979	8:46	2
980	8:50	4
981	8th	5
982	9	60
983	9-7	7
984	9-magnitud	6
985	9-point	1
986	9-year-old	1
987	90	27
988	90-degre	1
989	900	1
990	9000	2
991	90069	1
992	903	1
993	91	2
994	9100-ton	2
995	91000	1
996	911	5
997	918	1
998	92	1
999	925000	1
1000	92nd	1
1001	93	3
1002	93-degre	2
1003	930	2
1004	93117	1
1005	94	1
1006	95	6
1007	95-degre	1
1008	96	5
1009	97	1
1010	97-year-old	1
1011	98	2
1012	98133	1
1013	98481	1
1014	989	1
1015	99	8
1016	99-dai	1
1017	99-year	1
1018	99-year-old	1
1019	9:30	5
1020	9th	3
1021	a#	1
1022	a-ok	1
1023	aan	1
1024	aaron	2
1025	aback	1
1026	abahd	1
1027	abandon	37
1028	abat	1
1029	abc	49
1030	abcnew	3
1031	abdallah	2
1032	abdel	3
1033	abdomin	2
1034	abduct	2
1035	abdul	5
1036	abdul-karim	11
1037	abdullah	40
1038	abdurahman	1
1039	aberr	1
1040	abhad	1
1041	abhiyan	1
1042	abhorr	2
1043	abid	7
1044	abidjan	36
1045	abijan	1
1046	abil	32
1047	abl	105
1048	ablaz	3
1049	abnorm	1
1050	aboard	93
1051	abobo	3
1052	abolish	4
1053	abomin	1
1054	abort	7
1055	abound	4
1056	about	1
1057	abovo	1
1058	abraham	10
1059	abreast	1
1060	abrego	1
1061	abroad	51
1062	abroad:	1
1063	abrog	2
1064	abrupt	1
1065	abruptli	4
1066	abscam	1
1067	absenc	6
1068	absent	4
1069	absente	7
1070	absentia	3
1071	absolut	43
1072	absorb	9
1073	abstain	1
1074	abstent	1
1075	absurd	2
1076	abu	7
1077	abund	2
1078	abus	28
1079	abuse-of-pow	1
1080	abuzaakouk	1
1081	abyan	1
1082	abyssinian	1
1083	ac	27
1084	academ	6
1085	academi	4
1086	academia	1
1087	acced	1
1088	acceler	4
1089	accent	2
1090	accentu	2
1091	accept	124
1092	access	41
1093	accid	32
1094	accident	3
1095	accommod	11
1096	accompani	33
1097	accomplic	5
1098	accomplish	10
1099	accord	145
1100	accordingli	1
1101	accordion	1
1102	account	125
1103	accounting:	2
1104	accredit	1
1105	accumul	2
1106	accur	14
1107	accuraci	1
1108	accus	131
1109	accustom	2
1110	acerbity:	2
1111	achiev	30
1112	achieve:	1
1113	acid	2
1114	acknowledg	55
1115	acolyt	1
1116	acosta	1
1117	acquaint	1
1118	acquiesc	1
1119	acquir	5
1120	acquisit	1
1121	acquit	5
1122	acquitt	3
1123	acrimoni	2
1124	acrobat	5
1125	acronym	1
1126	across-the-board	1
1127	act	135
1128	action	95
1129	activ	89
1130	activist	19
1131	actor	4
1132	actress	2
1133	actual	66
1134	ad	107
1135	ad-dali	1
1136	adam	8
1137	adapt	5
1138	add	17
1139	add:	1
1140	added:	13
1141	adden	1
1142	adding:	3
1143	addit	71
1144	addition	4
1145	address	64
1146	adem	1
1147	aden	169
1148	aden-abyan	5
1149	aden-bas	1
1150	adequ	7
1151	adher	4
1152	adiksa	1
1153	adjac	4
1154	adjam	2
1155	adjoin	3
1156	adjourn	3
1157	adjust	7
1158	adlai	1
1159	adm	44
1160	admen	1
1161	administ	9
1162	administr	115
1163	administration-medi	1
1164	admir	38
1165	admiralti	1
1166	admiringli	1
1167	admiss	2
1168	admit	40
1169	ado	2
1170	adob	1
1171	adolesc	2
1172	adopt	17
1173	adorn	1
1174	adoubi	1
1175	adra	1
1176	adrain	1
1177	adrenalin	1
1178	adriat	1
1179	adrift	4
1180	adult	10
1181	advanc	66
1182	advani	1
1183	advantag	21
1184	adventist	1
1185	adventur	2
1186	advers	2
1187	adversari	2
1188	advertis	12
1189	advic	6
1190	advis	83
1191	advisor	10
1192	advisori	2
1193	advoc	13
1194	advocaci	2
1195	aegi	5
1196	aerial	3
1197	aeroflot	1
1198	affabl	1
1199	affair	48
1200	affairs:	1
1201	affect	29
1202	affection	1
1203	affili	6
1204	affirm	6
1205	afflict	1
1206	afford	7
1207	affront	2
1208	afghan	15
1209	afghan-arab	1
1210	afghan-bas	3
1211	afghanistan	46
1212	afi	2
1213	afibia	1
1214	afield	1
1215	afir	2
1216	afl-cio	2
1217	afloat	13
1218	afoul	1
1219	afraid	28
1220	afredo	1
1221	africa	65
1222	african	48
1223	african-american	1
1224	aftehock	1
1225	aftermath	14
1226	afternoon	59
1227	aftershock	43
1228	afundament	1
1229	ag	35
1230	agarw	1
1231	agassi	47
1232	agbayani	1
1233	agenc	117
1234	agenda	14
1235	agent	82
1236	agent:	1
1237	agglomer	1
1238	aggrav	12
1239	aggress	24
1240	agil	1
1241	agit	1
1242	ago	207
1243	ago:	1
1244	agon	6
1245	agoni	3
1246	agonizingli	1
1247	agre	77
1248	agreement	49
1249	agreement:	1
1250	agricultur	15
1251	agustin	1
1252	ah	1
1253	aha	1
1254	ahead	53
1255	ahemdabad	1
1256	ahm	15
1257	ahmad	1
1258	ahmadabad	2
1259	ahmar	1
1260	ahmedabad	20
1261	ahold	1
1262	ahren	1
1263	aid	158
1264	aida	2
1265	ail	5
1266	ailment	1
1267	aim	35
1268	air	169
1269	air-condition	1
1270	air-qual	1
1271	air-strik	1
1272	air-to-air	1
1273	air-traff	1
1274	air:	1
1275	aircraft	27
1276	airdrop	2
1277	airfield	1
1278	airforc	1
1279	airlift	4
1280	airlin	6
1281	airlock	1
1282	airman	1
1283	airmen	11
1284	airplan	7
1285	airport	49
1286	airstrik	3
1287	airtim	2
1288	airwai	3
1289	airwav	1
1290	aisl	3
1291	aj	1
1292	ajax	1
1293	ajnar	3
1294	ajw	1
1295	akaka	2
1296	akan	2
1297	akin	3
1298	akishio	1
1299	akouedo	1
1300	al-	1
1301	al-abidin	4
1302	al-ahmar	1
1303	al-ayyam	1
1304	al-badawi	1
1305	al-fadhli	1
1306	al-gama	1
1307	al-gamaa	2
1308	al-gerin	1
1309	al-ghashmi	1
1310	al-hadith	1
1311	al-hamdi	1
1312	al-harazi	2
1313	al-hassan	1
1314	al-iryani	11
1315	al-islamiya	2
1316	al-islaymiyya	1
1317	al-jazeera	3
1318	al-jefri	1
1319	al-jihad	1
1320	al-khamri	1
1321	al-masri	2
1322	al-megrahi	1
1323	al-midhar	2
1324	al-mihdar	3
1325	al-muhajiroun	3
1326	al-musawah	3
1327	al-naderi	2
1328	al-nahdi	1
1329	al-nizali	1
1330	al-omeri	1
1331	al-owhali	1
1332	al-qadhi	2
1333	al-qaeda	1
1334	al-qaida	3
1335	al-ribat	1
1336	al-shahrani	3
1337	al-sharia	1
1338	al-sharjani	1
1339	al-sharq	1
1340	al-shueib	1
1341	al-wadi	1
1342	al-zawahri	2
1343	al-zindani	1
1344	ala	4
1345	alabama	5
1346	alain	1
1347	alami	1
1348	alamoudi	1
1349	alan	5
1350	alarm	19
1351	alasan	1
1352	alaska	3
1353	alaskan	1
1354	alassan	27
1355	albani	1
1356	albania	1
1357	albanian	18
1358	albanian-american	1
1359	albeit	4
1360	albert	1
1361	alberto	66
1362	albright	47
1363	album	1
1364	alce	3
1365	alcohol	5
1366	alehandr	1
1367	alejandro	14
1368	aleksa	1
1369	aleksandar	6
1370	aler	1
1371	alert	62
1372	alessio	4
1373	alex	10
1374	alexa	2
1375	alexand	9
1376	alexandria	1
1377	alexei	1
1378	alexeyev	1
1379	alexsand	1
1380	alfonso	1
1381	alfr	2
1382	alfredo	1
1383	algeria	3
1384	algerian	5
1385	ali	44
1386	alia	2
1387	alibi	1
1388	alien	3
1389	alight	1
1390	align	5
1391	alija	1
1392	alik	9
1393	alisan	2
1394	alisha	1
1395	aliv	84
1396	all-franc	1
1397	all-french	2
1398	all-import	1
1399	all-night	2
1400	all-parti	1
1401	all-star	1
1402	all-tim	1
1403	all-william	1
1404	allafrica	1
1405	allah	1
1406	allahabad	2
1407	allahbad	1
1408	allan	1
1409	alleg	72
1410	allegedli	23
1411	allegi	1
1412	allei	2
1413	allen	22
1414	allentown	1
1415	alleywai	3
1416	alli	86
1417	allianc	10
1418	alliz	1
1419	allot	1
1420	allow	133
1421	allud	2
1422	allus	5
1423	alma	1
1424	almagor	1
1425	alongsid	39
1426	alou	1
1427	alpha	2
1428	alphabet	3
1429	alpin	1
1430	alter	8
1431	altern	20
1432	altitud	1
1433	altogeth	4
1434	aluminum	2
1435	alun	6
1436	amad	3
1437	amanda	17
1438	amarillo	2
1439	amartej	3
1440	amaru	4
1441	amass	4
1442	amateur	2
1443	amaz	10
1444	amazingli	1
1445	ambassador	47
1446	ambersag	1
1447	ambigu	1
1448	ambit	8
1449	ambiti	2
1450	ambival	2
1451	ambul	11
1452	ambush	1
1453	ameli	6
1454	amend	2
1455	amerasian	1
1456	america	128
1457	american	341
1458	american-islam	1
1459	american-l	1
1460	american-statesman	1
1461	american-yemeni	1
1462	americorp	1
1463	amh	1
1464	ami	2
1465	amiabl	2
1466	amic	1
1467	amid	51
1468	amidship	2
1469	amin	1
1470	amit	1
1471	amman	2
1472	ammo	1
1473	ammonium	1
1474	ammunit	22
1475	amnesia	2
1476	amnesti	2
1477	amount	8
1478	amp	5
1479	amphibi	3
1480	ampl	2
1481	ampli	1
1482	amplifi	1
1483	amput	12
1484	ana	7
1485	anacostia	1
1486	analges	1
1487	analog	1
1488	analysi	9
1489	analyst	38
1490	analyz	5
1491	anarch	2
1492	anathema	1
1493	anatoli	8
1494	anca	4
1495	ancestor	3
1496	ancestr	25
1497	ancestri	1
1498	anchor	8
1499	anchorag	2
1500	anchorman	3
1501	ancient	4
1502	andean	6
1503	anderson	4
1504	andi	5
1505	andjelkov	1
1506	andoslavia	1
1507	andr	48
1508	andrea	14
1509	andrei	2
1510	andrew	15
1511	andrik	1
1512	anew	7
1513	angel	13
1514	anger	46
1515	angl	12
1516	anglican	1
1517	angri	27
1518	angrili	4
1519	anguish	8
1520	anim	2
1521	animist	2
1522	animos	11
1523	anjai	1
1524	anjana	1
1525	anjar	6
1526	ank	2
1527	ankl	8
1528	ankle-deep	1
1529	ann	5
1530	anna	21
1531	annabel	1
1532	annacon	1
1533	annan	13
1534	anniversari	15
1535	annoi	1
1536	announc	164
1537	annoy	1
1538	annual	18
1539	annul	11
1540	anomaly:	1
1541	anonym	63
1542	answer	42
1543	answer:	1
1544	answered:	6
1545	antagon	1
1546	antasiaovich	1
1547	antenna	2
1548	anthem	6
1549	anthoni	27
1550	anthropologist	2
1551	anti	1
1552	anti-aircraft	2
1553	anti-american	16
1554	anti-ballist	1
1555	anti-bush	1
1556	anti-castro	1
1557	anti-communist	2
1558	anti-corrupt	2
1559	anti-diarrhea	1
1560	anti-fbi	2
1561	anti-islam	3
1562	anti-israel	2
1563	anti-militari	1
1564	anti-milosev	20
1565	anti-missil	1
1566	anti-northern	1
1567	anti-radar	1
1568	anti-ship	2
1569	anti-soviet	1
1570	anti-submarin	1
1571	anti-terror	6
1572	anti-terrorist	8
1573	anti-u	9
1574	anti-war	8
1575	anti-western	5
1576	antiballist	1
1577	antibiot	5
1578	anticip	17
1579	anticlimact	1
1580	antonia	6
1581	antonin	1
1582	antonio	26
1583	anwar	4
1584	anxieti	3
1585	anxiou	11
1586	anxious	2
1587	anybodi	14
1588	anymor	9
1589	anytim	4
1590	aon	1
1591	ap	1
1592	apart	68
1593	apec	4
1594	apex	1
1595	apolit	1
1596	apolog	18
1597	appal	1
1598	appallingli	1
1599	appar	193
1600	apparatu	7
1601	appeal	95
1602	appear	196
1603	appel	1
1604	appetit	2
1605	appl	3
1606	applaud	10
1607	applaus	8
1608	apple-pick	1
1609	appleton	2
1610	appli	18
1611	applic	16
1612	appoint	65
1613	appointe	3
1614	apprais	2
1615	appreci	16
1616	apprehend	4
1617	apprehens	2
1618	apprentic	3
1619	appris	1
1620	approach	49
1621	appropri	18
1622	approv	25
1623	approxim	12
1624	april	67
1625	aprista	4
1626	apron	1
1627	aquil	2
1628	ar	2
1629	ar-15	1
1630	arab	61
1631	arab-american	2
1632	arab-languag	3
1633	arab-look	1
1634	arab-speak	1
1635	arabi	1
1636	arabia	71
1637	arabian	44
1638	arabian-born	1
1639	arafat	16
1640	arantxa	3
1641	arazi	7
1642	arbadi	1
1643	arbit	1
1644	arbitrari	2
1645	arbitrarili	1
1646	arc	1
1647	arch	2
1648	archaeolog	2
1649	archbishop	4
1650	archer	1
1651	archeri	4
1652	archetyp	1
1653	archi	5
1654	archibald	1
1655	architect	7
1656	architectur	4
1657	arctic	6
1658	ardent	4
1659	arduou	1
1660	are:	2
1661	area	184
1662	aren	16
1663	arena	22
1664	aretz	1
1665	argentin	1
1666	argentina	10
1667	argu	45
1668	arguabl	2
1669	argument	18
1670	ari	1
1671	arid	5
1672	arif	1
1673	arisen	1
1674	arithmet	1
1675	aritomi	4
1676	ariz	6
1677	arizona	7
